Interaction_Date,KOL _Name,Current_Tier,Kol_Qualification,Therapeutic_Area,Speciality_within_TA,KOL_years_of_Experience,Adoption_Ladder,KOL_Location,KOL_Territory,SocialMedia_Twitter,SocialMedia_Linkedin,SocialMedia_YouTube,Overall_Kol_Rating,Connection_to_Advisory_Boards,Research_Participated,Research_Experience,Fundinghistory_researchgrants,Fundinghistory_ConsultingFees,Fundinghistory_researchgrants,No_Of_Publications,Trainings_Delivered,Professional_Certification,KOL_affiliations_academicinstitutions,KOL_Affiliations_Hospital_and_medical_Centres,KOL_Affiliations_ProfessionalAssocaitionsandsocities,KOL_Affiliations_Pharma_and_biotech_companies,KOL_Affiliations_Government_and_Regulatory_bodies,KOL_Affiliations_patientadvocacy_and_nonprofit_organisations,Internationa_Presentations_Presented,National_ntations_Presented,KOL_FollowUp,Previous_meeting_agenda,Previous_Meeting_SubTopics,Current_Discussion_Topic,Current_Meeting_Subtopics,Current_Channel_of_interaction,Company_Event,Interaction_intent,Items/topics_to_exchange,KOLMSL_Relation,Next_Action_Items,Proposed_Next_Channel_Of_interaction
1-Apr-19,Micheal Smith,National,MD,Oncology,Skin Cancer,20,2,New Jersey,East Coast,11K,6K,7K,3.7,2,10,5,20000,0,0,5,10,3,1,0,1,0,0,0,0,5,No,Discussion about new medical asset generation event happening,"Event details,agenda",How this event can be a great opportunity for healthcare professionals and others,"Colloboration,opportunity",In Person,Medical Asset Generation-Patient driven solutions,Discuss how it is a great opporutnity for healthcare professionals and innovators to colloborate and generate new medical assets,"Colloboration,opportunity",Neutral,How this event can be an exciting prospect for medical field,In Person
1-May-19,Micheal Smith,National,MD,Oncology,Skin Cancer,20,3,New Jersey,East Coast,11.1K,6.2K,7.1K,3.8,2,12,6,20000,0,20000,6,11,3,1,1,1,0,0,0,0,5,Yes,How this event can be a great opportunity for healthcare professionals and others,"Colloboration,opportunity",How this event can be an exciting prospect for medical field,"Rapid advancement in technology,increasing demand for innovative solutions",In Person,Medical Asset Generation-Patient driven solutions,"With the rapid advancement in technology and increasing demand for innnovative solutions,events play a crucial role in fostering collaboration and driving progress","Technology,Collaboration,driving progress",Neutral,Discussion about how these events can address pressing healthcare challenges,In Person
1-Jun-19,Micheal Smith,National,MD,Oncology,Skin Cancer,20,5,New Jersey,East Coast,11.3K,6.3K,7.3K,3.82,3,12,6,30000,30000,30000,6,11,4,1,1,1,1,0,0,0,6,Yes,How this event can be an exciting prospect for medical field,"Rapid advancement in technology,increasing demand for innovative solutions",Discussion about how these events can address pressing hralthcare challenges,"Exchange of ideas,knowledge and expertise",In Person,Medical Asset Generation-Patient driven solutions,"Events bring experts from various fields.The exchange of ideas,knowledge and expertise can spark innovation and accelerate creation of new medical assets","Exchange of ideas,knowledge and expertise,address challenges",Neutral,New medical assets ensuring they meet the demands of heathcare providers and patients,Video
1-Jul-19,Micheal Smith,National,MD,Oncology,Skin Cancer,20,2,New Jersey,East Coast,11.4K,6.3K,7.4K,3.83,3,14,7,40000,100000,30000,7,12,4,1,1,1,1,0,0,0,6,Yes,Discussion about how these events can address pressing healthcare challenges,"Exchange of ideas,knowledge and expertise",New medical assets ensuring they meet the demands of heathcare providers and patients,"Usability,safety and accessibility",Video,Medical Asset Generation-Patient driven solutions,"To discuss about new medical assets or technologies should meet the needs of healthcare patients and providers.Usability,safety and accessibility shoul be taken care of","Usability,safety and accessibility,demand of healthcare patients and providers",Neutral,Discuss about how these events have potential for collaboration between academia and industry,Video
1-Aug-19,Micheal Smith,National,MD,Oncology,Skin Cancer,20,3,New Jersey,East Coast,11.5K,6.6K,7.5K,3.9,5,14,7,40000,200000,80000,7,12,5,2,1,1,1,0,0,0,7,Yes,New medical assets ensuring they meet the demands of heathcare providers and patients,"Usability,safety and accessibility",Discuss about how these events have potential for collaboration between academia and industry,"Collaboration,bridging the gap",Video,Medical Asset Generation-Patient driven solutions,"Discuss about how these events have potential for collaboration between academia and industry where researchers,scientist and engineers can collaborate and bridge the gap between theoretical advancements and practical implementations","Collaboration,bridging the gap",Neutral,How collaborative environment can address ethical and regulatory aspects of medical asset generation,Email
1-Sep-19,Micheal Smith,National,MD,Oncology,Skin Cancer,20,5,New Jersey,East Coast,11.7K,6.7K,7.6K,3.95,5,17,8,60000,360000,50000,8,13,5,2,2,1,1,0,0,0,7,Yes,Discuss about how these events have potential for collaboration between academia and industry,"Collaboration,bridging the gap",How collaborative environment can address ethical and regulatory aspects of medical asset generation,"Adherence to rigourous safety standards,ethical guidelines and applicable regulations",Email,Medical Asset Generation-Patient driven solutions,To discuss about these events should address the regulatory and ethical aspects of medical asset generation before they reach the market,"Rigorous safety,ethical guidelines and applicable regulations",Neutral,To discuss about how these events can provide a platform for discussion on regulatory frameworks and IP rights,In Person
1-Oct-19,Micheal Smith,National,MD,Oncology,Skin Cancer,20,2,New Jersey,East Coast,11.8K,6.8K,7.7K,4,6,17,8,100000,360000,50000,8,13,6,2,2,1,1,0,0,0,8,Yes,How collaborative environment can address ethical and regulatory aspects of medical asset generation,"Adherence to rigourous safety standards,ethical guidelines and applicable regulations",To discuss about how these events can provide a platform for discussion on regulatory frameworks and IP rights,"Regulatory frameworks,intellectual property rights and responsible innovation",In Person,Medical Asset Generation-Patient driven solutions,"Event like this can provide a platform for discussions on regulatory frameworks,intellectual property rights and responsible innovation ensuring development of new assets is not only innovative but also accountable","Regulatory frameworks,intellectual property rights and responsible innovation,innovation",Neutral,How these events can revolutionize healthcare,In Person
1-Nov-19,Micheal Smith,National,MD,Oncology,Skin Cancer,20,3,New Jersey,East Coast,11.8K,6.81K,7.8K,4,6,17,8,100000,360000,70000,9,13,6,2,2,1,2,0,0,0,8,Yes,To discuss about how these events can provide a platform for discussion on regulatory frameworks and IP rights,"Regulatory frameworks,intellectual property rights and responsible innovation",How these events can revolutionize healthcare,"Collaboration,interdisciplinary approaches and patient centric design,quality of care and well being",In Person,Medical Asset Generation-Patient driven solutions,"Discuss about how these events can bring collaboration,interdisciplinary approaches and focus on patient centric can lead to medical asset generation that can revolutionize healthcare","Collaboration,interdisciplinary approaches and patient centric design,quality of care and well being",Neutral,Development of impactful medical assets,Email
1-Dec-19,Micheal Smith,National,MD,Oncology,Skin Cancer,20,2,New Jersey,East Coast,11.9K,6.9K,7.9K,4.1,6,18,9,100000,360000,70000,10,14,7,2,2,1,2,0,0,0,9,No,How these events can revolutionize healthcare,"Collaboration,interdisciplinary approaches and patient centric design,quality of care and well being",Discuss about key note speeches,"Speeches topic,speakers invited",Email,Medical Asset Generation-Patient driven solutions,To get overview of speakers or speeches that would be there in the event,"Speeches topic,speakers invited",Good,Discussion about how these events can address pressing healthcare challenges,In Person
1-Jan-20,Micheal Smith,National,MD,Oncology,Skin Cancer,20,2,New Jersey,East Coast,12K,7K,7.9K,4.2,6,19,9,100000,370000,80000,11,14,7,2,2,1,2,0,0,0,9,No,Discuss about key note speeches,"Speeches topic,speakers invited",Networking oppurtunities and programs,"Collaboration,networking",Phone,Medical Asset Generation-Patient driven solutions,Throw light on how these events can become a medium for collaboration with like minded people,"Collaboration,networking and connects",Good,How connections can help people,Phone
